sysyear,cowcode,country,year,length,scope,regionnum,simjacc,year2,cowcode2,country2,regionnum2,sysyear2,length2,scope2,samereg,la,meno,easteur,sahara,scopediff,lengthdiff,yeardiff
2005,572,Swaziland,2014,48604,45,7,66.10169,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,0.1702,0.14
1999,101,Venezuela,2014,37344,46,3,70.68965,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,7,0.9558,0.08
1973,31,Bahamas,2014,41835,33,3,53.57143,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,20,0.5067,0.18
2010,540,Angola,2014,27181,56,7,84.74577,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,3,1.9721,0.19
1962,990,Samoa,2014,19611,24,5,40,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,29,2.7291,0.29
1991,55,Grenada,2014,33737,34,3,58.18182,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,19,1.3165,0
1991,411,Equatorial Guinea,2014,5575,40,7,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,4.1327,0
1991,435,Mauritania,2014,6997,34,7,58.18182,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,19,3.9905,0
1993,811,Cambodia (Kampuchea),2014,8936,43,2,65.51724,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.7966,0.02
2001,484,Congo,2014,9970,42,7,69.64286,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,3.6932,0.1
1981,987,"Micronesia, Fed. Sts.",2014,5271,31,5,58.49057,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,22,4.1631,0.1
2005,490,"Congo, Democratic Republic Of (Zaire)",2014,19285,49,7,78.94737,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,2.7617,0.14
1978,56,St. Lucia,2014,38271,44,3,64.40678,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,9,0.8631,0.13
1992,816,"Vietnam, Democratic Republic Of",2014,11344,36,2,61.81818,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,3.5558,0.01
1959,850,Indonesia,2014,5915,39,2,64.28571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,4.0987,0.32
1991,367,Latvia,2014,4917,36,1,64.81481,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,4.1985,0
1985,165,Uruguay,2014,29911,46,3,80,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,7,1.6991,0.06
1990,565,Namibia,2014,24198,41,7,70.90909,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,2.2704,0.01
2008,347,Kosovo,2014,19782,46,,76.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,2.712,0.17
1949,260,German Federal Republic,2014,27379,50,8,68.85246,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,3,1.9523,0.42
1991,812,Laos,2014,4820,32,2,57.40741,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,21,4.2082,0
1983,160,Argentina,2014,12514,45,3,71.92982,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,8,3.4388,0.08
1996,420,Gambia,2014,43465,51,7,70.49181,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,2,0.3437,0.05
1999,375,Finland,2014,12640,43,8,71.42857,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.4262,0.08
1971,696,United Arab Emirates,2014,11557,33,4,56.36364,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,20,3.5345,0.2
2003,517,Rwanda,2014,16940,44,7,76.36363,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,2.9962,0.12
1978,54,Dominica,2014,36080,37,3,57.89474,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,16,1.0822,0.13
1979,630,Iran (Persia),2014,16179,46,4,76.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.0723,0.12
1996,451,Sierra Leone,2014,44636,38,7,65.45454,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,15,0.2266,0.05
1978,780,Sri Lanka (Ceylon),2014,40085,47,6,69.49152,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,6,0.6817,0.13
1992,704,Uzbekistan,2014,7941,41,1,70.90909,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,3.8961,0.01
2002,692,Bahrain,2014,10806,40,4,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,3.6096,0.11
1968,590,Mauritius,2014,37320,33,7,53.57143,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,20,0.9582,0.23
1983,92,El Salvador,2014,22823,45,3,75,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,8,2.4079,0.08
1991,551,Zambia,2014,30696,44,7,64.40678,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,1.6206,0
1978,230,Spain,2014,17608,44,8,76.36363,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,2.9294,0.13
1976,52,Trinidad And Tobago,2014,32567,36,3,58.92857,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,17,1.4335,0.15
1981,986,Palau,2014,7982,34,5,55.35714,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,19,3.892,0.1
1988,140,Brazil,2014,64488,49,3,82.14286,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,4,1.7586,0.03
1960,352,Cyprus,2014,37006,37,8,63.63636,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,16,0.9896,0.31
1980,935,Vanuatu,2014,8425,36,5,64.81481,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,3.8477,0.11
2006,790,Nepal,2014,32753,49,6,70,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,1.4149,0.15
1944,395,Iceland,2014,8345,39,8,64.28571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,3.8557,0.47
1984,404,Guinea-Bissau,2014,7820,40,7,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,3.9082,0.07
1992,150,Paraguay,2014,25461,43,3,74.54546,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,10,2.1441,0.01
1958,220,France,2014,10180,35,8,60,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,3.6722,0.33
2008,701,Turkmenistan,2014,5735,35,1,62.96296,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,4.1167,0.17
1991,439,Burkina Faso (Upper Volta),2014,10030,41,7,67.85714,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,3.6872,0
1995,705,Kazakhstan,2014,13482,39,1,67.27273,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,3.342,0.04
1981,80,Belize,2014,39629,33,3,56.36364,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,20,0.7273,0.1
2005,625,Sudan,2014,26644,49,7,78.94737,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,2.0258,0.14
1966,571,Botswana,2014,30713,30,7,48.21429,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,23,1.6189,0.25
2014,651,Egypt,2014,22626,54,4,78.33334,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,1,2.4276,0.23
1996,560,South Africa,2014,43062,45,7,68.96552,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,0.384,0.05
1991,678,Yemen (Arab Republic Of Yemen),2014,9790,38,4,59.64912,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,15,3.7112,0
1992,432,Mali,2014,7503,37,7,60.71429,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,16,3.9399,0.01
1993,316,Czech Republic,2014,14580,42,1,69.64286,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,3.2322,0.02
1997,531,Eritrea,2014,6753,37,7,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,16,4.0149,0.06
1957,820,Malaysia,2014,64080,41,2,62.06896,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,1.7178,0.34
1995,500,Uganda,2014,49448,48,7,65.57377,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,5,0.2546,0.04
1815,210,Netherlands,2014,8739,30,8,53.7037,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,23,3.8163,1.76
2000,437,Cote D'Ivoire,2014,7897,34,7,61.11111,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,19,3.9005,0.09
2004,700,Afghanistan,2014,10227,46,1,65,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.6675,0.13
1852,920,New Zealand,2014,48438,17,5,29.62963,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,36,0.1536,1.39
1992,368,Lithuania,2014,12214,46,1,70.68965,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.4688,0.01
1974,380,Sweden,2014,13635,43,8,68.42105,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.3267,0.17
2002,860,East Timor,2014,15307,45,2,71.92982,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,3.1595,0.11
1814,385,Norway,2014,7307,36,8,58.92857,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,3.9595,1.77
1987,41,Haiti,2014,18488,48,3,80.35714,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,5,2.8414,0.04
1992,712,Mongolia,2014,8250,39,2,70.37037,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,3.8652,0.01
1945,305,Austria,2014,41366,40,8,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,0.5536,0.46
2008,781,Maldives,2014,23991,43,6,65.51724,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,2.2911,0.17
1875,972,Tonga,2014,10192,29,5,51.85185,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,24,3.671,1.16
1982,710,China,2014,10960,36,2,61.81818,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,3.5942,0.09
1952,663,Jordan,2014,2270,38,4,54.23729,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,15,4.4632,0.39
2010,501,Kenya,2014,48818,57,7,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,4,0.1916,0.19
2002,770,Pakistan,2014,56240,45,6,71.92982,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,0.9338,0.11
1990,434,Benin,2014,11386,39,7,58.62069,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,3.5516,0.01
1949,94,Costa Rica,2014,16705,44,3,67.24138,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,9,3.0197,0.42
1991,481,Gabon,2014,11804,46,7,76.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.5098,0
2008,760,Bhutan,2014,13632,45,6,68.96552,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,3.327,0.17
1986,450,Liberia,2014,11667,42,7,63.79311,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,3.5235,0.05
2013,482,Central African Republic,2014,9767,40,7,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,3.7135,0.22
2005,645,Iraq,2014,11550,42,4,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,3.5352,0.14
1937,205,Ireland,2014,16007,39,8,58.62069,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,3.0895,0.54
1979,970,Kiribati,2014,26080,38,5,59.64912,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,15,2.0822,0.12
1997,290,Poland,2014,19602,45,1,71.92982,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,2.73,0.06
1996,615,Algeria,2014,10038,43,4,68.42105,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.6864,0.05
1998,339,Albania,2014,13826,43,1,74.54546,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.3076,0.07
1991,343,Macedonia (Former Yugoslav Republic Of),2014,13486,42,1,69.64286,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,3.3416,0
1962,221,Monaco,2014,3814,26,8,43.63636,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,27,4.3088,0.29
1982,91,Honduras,2014,23434,48,3,74.13793,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,5,2.3468,0.09
2013,950,Fiji,2014,40773,44,5,59.0164,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,0.6129,0.22
1994,553,Malawi,2014,33422,47,7,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,6,1.348,0.03
1868,212,Luxembourg,2014,5601,37,8,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,16,4.1301,1.23
1996,483,Chad,2014,11768,40,7,63.15789,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,3.5134,0.05
1981,58,Antigua And Barbuda,2014,38464,38,3,62.5,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,15,0.8438,0.1
2006,345,Yugoslavia (Serbia),2014,19891,45,1,75,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,2.7011,0.15
1948,732,"Korea, Republic Of",2014,9059,46,2,73.68421,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.7843,0.43
2004,541,Mozambique,2014,24171,51,7,79.31035,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,2,2.2731,0.13
1917,70,Mexico,2014,57087,53,3,68.25397,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,0,1.0185,0.74
2011,310,Hungary,2014,15247,48,1,77.19298,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,5,3.1655,0.2
1979,57,St. Vincent And The Grenadines,2014,34817,34,3,52.63158,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,19,1.2085,0.12
2010,436,Niger,2014,,46,7,67.79662,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,,0.19
1959,835,Brunei,2014,13869,23,2,31.03448,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,30,3.3033,0.32
1991,360,Romania,2014,14663,40,1,69.09091,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,13,3.2239,0
1993,570,Lesotho,2014,45532,39,7,64.28571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,0.137,0.02
1987,115,Surinam,2014,12488,40,3,72.22222,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,13,3.4414,0.04
2010,42,Dominican Republic,2014,29710,49,3,85.45454,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,4,1.7192,0.19
1947,713,Taiwan,2014,11558,35,2,62.96296,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,3.5344,0.44
1995,346,Bosnia-Herzegovina,2014,5454,29,1,46.42857,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,24,4.1448,0.04
1976,40,Cuba,2014,12893,38,3,65.45454,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,15,3.4009,0.15
1975,403,Sao Tome And Principe,2014,7988,36,7,64.81481,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,3.8914,0.16
2001,581,Comoros,2014,6185,31,7,52.72727,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,22,4.0717,0.1
1972,471,Cameroon,2014,8444,32,7,51.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,21,3.8458,0.19
1978,940,Solomon Islands,2014,31836,29,5,51.85185,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,24,1.5066,0.13
2011,600,Morocco,2014,15897,45,4,66.10169,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,3.1005,0.2
2012,520,Somalia,2014,,45,7,71.92982,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,,0.21
1975,910,Papua New Guinea,2014,58490,32,5,60.37736,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,21,1.1588,0.16
1993,365,Russia (Soviet Union),2014,12908,45,1,66.10169,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,3.3994,0.02
1995,371,Armenia,2014,13786,46,1,76.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.3116,0.04
1980,402,Cape Verde,2014,32132,53,7,82.75862,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,0,1.477,0.11
2003,694,Qatar,2014,6848,35,4,60,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,4.0054,0.12
2010,438,Guinea,2014,12707,45,7,71.92982,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,3.4195,0.19
1964,338,Malta,2014,31820,33,8,53.57143,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,20,1.5082,0.27
2007,341,Montenegro,2014,11572,45,1,75,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,8,3.533,0.16
1995,373,Azerbaijan,2014,17354,44,1,73.21429,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,2.9548,0.04
1789,2,United States Of America,2014,7762,34,8,47.45763,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,19,3.914,2.02
1979,983,Marshall Islands,2014,21429,31,5,55.55556,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,22,2.5473,0.12
1972,731,"Korea, People'S Republic Of",2014,7364,35,2,62.96296,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,3.9538,0.19
1831,211,Belgium,2014,16119,41,8,67.85714,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,3.0783,1.6
1994,370,Belarus (Byelorussia),2014,13278,43,1,71.42857,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.3624,0.03
1962,51,Jamaica,2014,38048,28,3,47.27273,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,25,0.8854,0.29
1980,110,Guyana,2014,46221,41,3,70.90909,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,12,0.0681,0.11
1993,232,Andorra,2014,8740,35,8,54.38597,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,3.8162,0.02
1992,690,Kuwait,2014,8197,36,4,61.81818,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,17,3.8705,0.01
1993,135,Peru,2014,19216,49,3,78.94737,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,4,2.7686,0.02
1992,317,Slovakia,2014,18402,47,1,75.4386,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,6,2.85,0.01
2012,652,Syria,2014,8154,44,4,70.17544,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,3.8748,0.21
1993,591,Seychelles,2014,39729,44,7,70.17544,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,0.7173,0.02
1901,900,Australia,2014,17318,30,5,43.10345,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,23,2.9584,0.9
2007,800,Thailand,2014,7683,41,2,62.06896,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,3.9219,0.16
1999,225,Switzerland,2014,16484,44,8,64.40678,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,3.0418,0.08
1994,530,Ethiopia,2014,13630,44,7,67.24138,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,3.3272,0.03
2010,703,Kyrgyz Republic,2014,14327,50,1,77.58621,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,3,3.2575,0.19
2009,145,Bolivia,2014,39375,52,3,81.03448,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,1,0.7527,0.18
1958,666,Israel,2014,17053,27,4,45.45455,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,26,2.9849,0.33
1992,670,Saudi Arabia,2014,6335,34,4,58.18182,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,19,4.0567,0.01
2011,626,South Sudan,2014,27191,51,,79.31035,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,2,1.9711,0.2
1996,698,Oman,2014,7233,39,4,64.28571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,14,3.9669,0.05
1986,771,Bangladesh,2014,27643,44,6,70.17544,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,1.9259,0.05
2010,580,Madagascar (Malagasy),2014,15759,42,7,66.66667,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,11,3.1143,0.19
1991,344,Croatia,2014,10898,41,1,74.07407,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,12,3.6004,0
1994,359,Moldova,2014,12818,43,1,74.54546,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,10,3.4084,0.03
1966,53,Barbados,2014,34144,28,3,44.64286,2014,100,Colombia,3,1991,46902,53,1,1,0,0,0,25,1.2758,0.25
1982,640,Turkey/Ottoman Empire,2014,29727,48,4,80.35714,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,5,1.7175,0.09
1994,702,Tajikistan,2014,7917,44,1,76.36363,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,9,3.8985,0.03
1947,325,Italy/Sardinia,2014,11708,47,8,72.41379,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,6,3.5194,0.44
1921,223,Liechtenstein,2014,9513,32,8,51.78571,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,21,3.7389,0.7
1926,660,Lebanon,2014,6296,33,4,53.57143,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,20,4.0606,0.65
1995,372,Georgia,2014,11490,46,1,73.68421,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,7,3.5412,0.04
1963,830,Singapore,2014,40076,35,2,54.38597,2014,100,Colombia,3,1991,46902,53,0,0,0,0,0,18,0.6826,0.28
1979,57,St. Vincent And The Grenadines,2014,34817,34,3,53.84616,2014,101,Venezuela,3,1999,37344,46,1,1,0,0,0,12,0.2527,0.2
1981,987,"Micronesia, Fed. Sts.",2014,5271,31,5,60.41667,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,15,3.2073,0.18
1999,225,Switzerland,2014,16484,44,8,63.63636,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,2,2.086,0
1991,367,Latvia,2014,4917,36,1,60.78432,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,10,3.2427,0.08
1980,110,Guyana,2014,46221,41,3,61.11111,2014,101,Venezuela,3,1999,37344,46,1,1,0,0,0,5,0.8877,0.19
1945,305,Austria,2014,41366,40,8,65.38461,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,6,0.4022,0.54
1949,94,Costa Rica,2014,16705,44,3,69.81132,2014,101,Venezuela,3,1999,37344,46,1,1,0,0,0,2,2.0639,0.5
1867,20,Canada,2014,19565,28,8,45.09804,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,18,1.7779,1.32
2013,552,Zimbabwe (Rhodesia),2014,55883,57,7,66.12904,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,11,1.8539,0.14
1995,705,Kazakhstan,2014,13482,39,1,70,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,7,2.3862,0.04
2011,600,Morocco,2014,15897,45,4,59.64912,2014,101,Venezuela,3,1999,37344,46,0,0,0,0,0,1,2.1447,0.12
1988,140,Brazil,2014,64488,49,3,72.72727,2014,101,Venezuela,3,1999,37344,46,1,1,0,0,0,3,2.7144,0.11
